Fecha||Cartas Jugadas||Vida pruebas.Enemigo||Estado Mano||Resultado
2025-05-02 16:02:45||3||7||[]||Derrota
2025-05-17 17:51:11||4||10||[]||Derrota
2025-05-17 17:51:38||3||7||[]||Derrota
2025-05-19 10:22:57||1||12||[{"numero":3,"palo":"Treboles"},{"numero":8,"palo":"Diamantes"},{"numero":1,"palo":"Treboles"},{"numero":2,"palo":"Picas"},{"numero":6,"palo":"Corazones"}]||Derrota
2025-05-19 10:23:02||1||12||[{"numero":3,"palo":"Treboles"},{"numero":8,"palo":"Diamantes"},{"numero":1,"palo":"Treboles"},{"numero":2,"palo":"Picas"},{"numero":6,"palo":"Corazones"}]||Derrota
2025-05-23 19:56:48||1||12||[{"numero":3,"palo":"Treboles"},{"numero":8,"palo":"Diamantes"},{"numero":1,"palo":"Treboles"},{"numero":2,"palo":"Picas"},{"numero":6,"palo":"Corazones"}]||Derrota
2025-05-24 11:52:38||3||20||[{"numero":9,"palo":"Picas"},{"numero":1,"palo":"Corazones"},{"numero":5,"palo":"Diamantes"},{"numero":4,"palo":"Picas"},{"numero":9,"palo":"Diamantes"}]||Derrota
2025-05-24 11:53:00||1||12||[{"numero":10,"palo":"Corazones"},{"numero":7,"palo":"Treboles"},{"numero":6,"palo":"Treboles"},{"numero":2,"palo":"Treboles"},{"numero":9,"palo":"Treboles"},{"numero":6,"palo":"Diamantes"},{"numero":10,"palo":"Diamantes"},{"numero":3,"palo":"Picas"}]||Derrota
2025-05-24 11:54:09||1||18||[{"numero":9,"palo":"Treboles"},{"numero":3,"palo":"Diamantes"},{"numero":4,"palo":"Corazones"},{"numero":1,"palo":"Picas"},{"numero":1,"palo":"Treboles"},{"numero":10,"palo":"Picas"},{"numero":10,"palo":"Diamantes"},{"numero":9,"palo":"Picas"}]||Derrota
2025-05-24 18:41:32||4||20||[]||Derrota
2025-05-24 18:52:18||3||7||[{"numero":10,"palo":"Corazones","esCompanieroAnimal":false},{"numero":7,"palo":"Treboles","esCompanieroAnimal":false},{"numero":6,"palo":"Treboles","esCompanieroAnimal":false},{"numero":2,"palo":"Treboles","esCompanieroAnimal":false},{"numero":6,"palo":"Diamantes","esCompanieroAnimal":false},{"numero":10,"palo":"Diamantes","esCompanieroAnimal":false},{"numero":3,"palo":"Picas","esCompanieroAnimal":false}]||Derrota
2025-05-24 18:56:51||2||14||[{"numero":8,"palo":"Picas","esCompanieroAnimal":false},{"numero":5,"palo":"Picas","esCompanieroAnimal":false},{"numero":1,"palo":"Diamantes","esCompanieroAnimal":false},{"numero":8,"palo":"Corazones","esCompanieroAnimal":false},{"numero":3,"palo":"Corazones","esCompanieroAnimal":false},{"numero":7,"palo":"Treboles","esCompanieroAnimal":false},{"numero":8,"palo":"Treboles","esCompanieroAnimal":false},{"numero":3,"palo":"Picas","esCompanieroAnimal":false}]||Derrota
